,Date,MUB,VTEB,SHM,TFI,SUB,ITM,PZA,FMB,MUNI,SMB,MEAR,SHYD,MLN,SMMU,PVI,RVNU,PRB,BSCK,BSCJ,BSCL,BSCM,IBDL,IBDM,IBDK,IBDN,BSCN,IBDO,IBDP,BSCO,IBDQ,BSCP,IBDC,IBCD,IBDD,IBCE
0,2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2016-01-01,103.421516,48.034252,47.060581,45.796093,102.589127,45.179951,23.171298999999998,48.153884999999995,50.122585,16.864092000000003,48.324413,22.712533999999998,18.453316,48.109123,24.391695000000002,24.300552,23.759487,19.573406,19.706059,19.110958,18.812738,23.460179999999998,22.590021,23.19195,22.371281,18.248255,22.088173,21.735325,18.05732,21.66873,18.071154,23.463791,22.33326,22.633592999999998,21.083361
2,2016-02-01,103.236122,48.118598999999996,47.176021999999996,45.833256,102.76284799999999,45.10556,23.157856,48.457909,50.122585,16.950367,48.45953,22.895108999999998,18.425915,48.31879,24.391745,24.273104,23.913822,19.582710000000002,19.659046,19.073977,18.858755,23.441538,22.562319,23.173229,22.390535,18.421181,22.325094,21.970688,18.111555,21.939142,18.234695000000002,23.655922,22.376724,22.635778,21.316961
3,2016-03-01,103.71300500000001,48.282925,46.98167,45.893768,102.506714,45.137085,23.386778,48.732655,50.094894000000004,16.909193,48.392971,22.985326999999998,18.577841,48.204514,24.372215,24.675034,23.776851999999998,19.962387,19.980055,19.554672,19.415018,23.854326,23.118244,23.498635999999998,23.026953,18.893234,22.872826,22.507988,18.686859,22.473284,18.699167000000003,24.065126,22.868979,23.316833,21.929136
4,2016-04-01,104.422119,48.70689,47.099037,46.31926,102.63225600000001,45.663452,23.606104000000002,49.06078,50.508289000000005,16.982138,48.364005999999996,23.076853,18.806734,48.292198,24.372265,24.928635,23.873386,20.114501999999998,20.079570999999998,19.730667,19.617928,23.947723,23.23851,23.559604999999998,23.174093,19.093935000000002,23.037251,22.80761,18.889441,22.672167,18.931252999999998,24.172787,23.169186,23.887869,22.274954
5,2016-05-01,104.695526,48.816494,47.047073,46.355389,102.55058299999999,45.639998999999996,23.789848000000003,49.434418,50.445824,16.960075,48.44128,23.095160999999997,18.852526,48.262615000000004,24.363926,25.182610999999998,23.815472,20.079134,20.085354000000002,19.653076000000002,19.513926,23.844992,23.143284,23.540844,23.105322,19.120008,22.998304,22.844872,18.937208,22.729866,18.90362,24.303711,23.177521,23.998325,22.390974
6,2016-06-01,106.37698400000001,49.656096999999995,47.367340000000006,47.357002,102.90004,46.546749,24.309986,50.016705,51.176617,17.06205,48.522526,23.340989999999998,19.366626999999998,48.27404,24.364317,25.85989,23.870491,20.368914,20.277384,20.019356,19.952694,24.179792000000003,23.619638000000002,23.786943,23.628141,19.493004,23.604945999999998,23.35145,19.376196,23.299841,19.374378,24.799288,23.634087,24.565922,23.026424
7,2016-07-01,106.328423,49.657806,47.519172999999995,47.355647999999995,103.17939799999999,46.538891,24.189032,50.291138000000004,51.310902,17.126675,48.576714,23.393944,19.349363,48.484531,24.364435,25.823837,23.878254000000002,20.455887,20.349693,20.214022,20.147671,24.32568,23.773277,23.819309,23.730314,19.682175,23.714121,23.562307,19.618795000000002,23.585758,19.603598,24.916048,23.802532,25.188412,23.374271
8,2016-08-01,106.470253,49.673794,47.491222,47.45789,103.154877,46.60078,24.212989999999998,50.485302000000004,51.466709,17.132505,48.547714,23.354311,19.339071,48.554577,24.375021,25.765158,23.894693,20.425846,20.334570000000003,20.190037,20.117292000000003,24.227234,23.674585,23.77405,23.740631,19.727634,23.729008,23.542510999999998,19.57617,23.514135,19.596703,24.998695,23.803822,25.083851,23.287676
9,2016-09-01,105.861855,49.356052000000005,47.2561,47.123882,102.764778,46.325691,24.031198999999997,50.323792,51.249115,17.041786,48.484707,23.309829999999998,19.238167,48.289103999999995,24.375555,25.602943,23.805632,20.479494,20.345907,20.218933,20.187061,24.216616000000002,23.646587,23.727646,23.777788,19.735022,23.717007000000002,23.514977,19.631119,23.413572,19.578154,24.958422,23.708838,25.106704999999998,23.376045
10,2016-10-01,104.846016,48.980427,47.111008,46.549884999999996,102.728607,45.840053999999995,23.829027,49.774796,50.773922,17.00885,48.494385,23.13443,18.840645000000002,48.357918,24.38916,25.253963,23.795948000000003,20.395605,20.33235,20.159439000000003,20.064146,24.141314,23.573587,23.727646,23.592022,19.526332999999997,23.479817999999998,23.276339,19.395611,23.130156,19.320304999999998,24.908274,23.756418,24.972132000000002,23.139368
11,2016-11-01,100.551079,47.122952000000005,46.279216999999996,44.566578,101.541946,43.328606,22.80969,47.657059000000004,49.122337,16.482899,48.267596999999995,21.612991,17.505247,47.457375,24.429379,23.428210999999997,23.366779,20.06213,20.200665,19.79455,19.638610999999997,23.864901,23.134823,23.552692,23.070227,19.053547000000002,22.852856,22.564362,18.858095000000002,22.423486999999998,18.673551999999997,24.735815,23.441719,24.355122,22.56625
12,2016-12-01,102.12688399999999,47.721621999999996,46.449089,44.792561,102.048988,43.92038,23.13682,48.152977,49.226402,16.604332,48.260628000000004,22.062775,17.985809,47.476791,24.437124,23.912762,23.451760999999998,20.1042,20.19088,19.764622,19.630186,23.834076,23.19203,23.57509,23.133274,19.031006,22.928139,22.587225,18.874353,22.375391,18.648046,24.732285,23.515783,24.37635,22.569962
13,2017-01-01,102.728394,47.989452,46.877346,45.255210999999996,102.37155899999999,44.452213,23.354387,48.553436,49.593933,16.868059,48.377056,22.282585,18.12381,48.182078999999995,24.4436,24.357933,23.650812,20.322273000000003,20.331626999999997,19.960304,19.829144,24.096436999999998,23.353262,23.831676,23.286209,19.327738,23.175188000000002,22.826276999999997,19.105627,22.64394,18.855101,24.927902,23.640673,24.598499,22.742701
14,2017-02-01,103.06935899999999,48.208546000000005,47.032677,45.435577,102.7994,44.642342,23.48741,48.855872999999995,49.848549,16.906843,48.641251000000004,22.245304,18.263937,48.153202,24.42482,24.470619,23.689644,20.369892,20.350796,20.017054,19.895147,24.115391,23.419204999999998,23.85075,23.370518,19.421471,23.268333,22.983828,19.245493,22.861045999999998,19.018320000000003,24.937407,23.669422,24.691854,22.864620000000002
15,2017-03-01,103.389191,48.307117,47.070717,45.57571,102.743256,44.652241,23.443764,49.083908,50.004951,16.933079,48.64727,22.433007999999997,18.321452999999998,48.282303000000006,24.443459,24.465708,23.719797,20.410059,20.373857,20.050362,19.89436,24.131559,23.421234,23.860332,23.379168,19.442385,23.262037,23.000057,19.231870999999998,22.857029,19.007566,24.92485,23.638929,24.71571,22.89818
16,2017-04-01,103.962845,48.568020000000004,47.217597999999995,45.931274,102.927193,45.112,23.513762,49.501961,50.391407,16.986504,48.665729999999996,22.631941,18.402214,48.395271,24.441492,24.706051000000002,23.848195999999998,20.478859,20.389214000000003,20.207983,20.148972,24.24469,23.594259,23.910038,23.594573999999998,19.659821,23.508089000000002,23.241289000000002,19.399473,23.116058,19.231434,24.999172,23.69746,24.992359,23.016853
17,2017-05-01,105.552696,49.311844,47.508778,46.788086,103.357979,46.022888,24.039483999999998,50.177341,50.899532,17.101263,48.696869,22.87089,18.789207,48.653236,24.474860999999997,25.212010999999997,23.990459,20.598570000000002,20.466188,20.32239,20.274639,24.346777,23.786015,23.976167999999998,23.810033999999998,19.846144,23.736641,23.47352,19.656307,23.359811999999998,19.45834,25.110106,23.772586999999998,25.204501999999998,23.257792000000002
18,2017-06-01,105.11916399999998,49.196053000000006,47.258564,46.569557,103.15248100000001,45.821373,24.018549,50.339687,50.829052000000004,17.001125,48.712463,22.863813,18.750405999999998,48.360455,24.498447,25.171318,23.85705,20.591993,20.483597,20.301556,20.265297,24.354521,23.740713,24.014608,23.789597,19.839819,23.721069,23.483353,19.6276,23.342569,19.443666,25.115963,23.762041,25.153017000000002,23.225092
19,2017-07-01,106.032257,49.595165,47.570403999999996,47.006889,103.52504,46.273769,24.231935999999997,50.616165,51.168758000000004,17.13641,48.791412,23.009991,18.90156,48.579826000000004,24.478807,25.375145,23.920310999999998,20.714848999999997,20.544373999999998,20.448523,20.443336,24.475924,23.894735,24.071329000000002,23.967594000000002,20.044462,23.941623999999997,23.669245,19.840828,23.57473,19.638,25.265537,23.84696,25.373888,23.409868
20,2017-08-01,106.888374,50.006423999999996,47.793648,47.361736,103.875862,46.660831,24.399357000000002,51.085251,51.559608000000004,17.202848,48.919292,23.263018,19.147438,49.033615000000005,24.511253,25.581841,24.088282,20.748657,20.563738,20.514736,20.521862,24.559431,23.982723,24.119501,24.089470000000002,20.121756,24.067804000000002,23.903236,20.00309,23.795113,19.8002,25.339714,23.952485999999997,25.502167,23.491932000000002
21,2017-09-01,106.433571,49.769946999999995,47.519978,47.032383,103.559433,46.324326,24.300406,51.085079,51.452106,17.113087,48.964294,23.215078,18.986313,48.954514,24.512251000000003,25.522121,24.02392,20.724569,20.564692,20.475492000000003,20.476988000000002,24.536463,23.946476,24.157125,24.048681,20.08946,24.050901,23.787489,19.900883,23.691875,19.716028,25.28779,23.90221,25.392172,23.411005
22,2017-10-01,106.52278899999999,49.844685,47.461983000000004,47.125095,103.403625,46.468269,24.352554,51.222176,51.541779,17.130569,48.930073,23.250978,19.1583,48.917431,24.541757999999998,25.643167000000002,23.999369,20.738951,20.575308,20.504158,20.497906,24.542114,23.94726,24.133945,24.045607,20.132235,24.062117,23.878891,20.006109,23.785908,19.788004,25.273155,23.938948,25.405088,23.444126
23,2017-11-01,106.03020500000001,49.695797,46.957443,46.842365,102.805374,46.224781,24.346384,51.152111,51.202847,16.923182999999998,48.805752000000005,23.158409,19.128023000000002,48.592377,24.525042000000003,25.562916,23.875933,20.657719,20.528658,20.389633,20.405661,24.480381,23.881885999999998,24.107731,23.93358,20.014633,23.90196,23.819136,19.931772,23.681744000000002,19.696533,25.259535,23.849536999999998,25.275208,23.228737
